----------------------------------------------------
                |                 Sexo              
                |    Hombres     Mujeres       Total
----------------+-----------------------------------
Edad quinquenal |                                   
  0 a 4         |    360,354     345,931     706,285
  5 a 9         |    356,478     342,961     699,438
  10 a 14       |    351,656     339,085     690,741
  15 a 19       |    343,659     331,590     675,249
  20 a 24       |    333,717     321,831     655,549
  25 a 29       |    316,387     306,966     623,353
  30 a 34       |    295,355     288,533     583,888
  35 a 39       |    257,816     255,376     513,192
  40 a 44       |    207,104     209,600     416,704
  45 a 49       |    182,683     184,539     367,222
  50 a 54       |    161,473     162,508     323,981
  55 a 59       |    138,316     138,543     276,859
  60 a 64       |    117,754     115,795     233,549
  65 a 69       |   90,798.1    90,790.9     181,589
  70 a 74       |   60,653.6    63,354.9     124,008
  75 a 79       |   39,533.3    44,548.7    84,082.1
  Total         |  3,613,737   3,541,953   7,155,690
----------------------------------------------------
